epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3746,1.82301,6.79483,3.0379,0.00368,0.775,0.17787,0.06095,3.99892,8.83627,5.50582,0.000547949,0.000547949,0.000547949
2,40.9188,1.96092,4.86714,3.05594,0.33982,0.26663,0.17175,0.07063,5.80253,8.92728,7.23749,0.00108176,0.00108176,0.00108176
3,60.0584,2.05496,4.03424,3.15066,0.1109,0.1,0.08054,0.02639,4.83625,9.94492,6.71772,0.00159357,0.00159357,0.00159357
4,79.2985,2.02427,3.22398,3.08108,0.64527,0.57917,0.61829,0.27237,3.1609,4.82984,5.01012,0.00156798,0.00156798,0.00156798
5,99.2597,1.92742,2.76684,3.00969,0.90033,0.67546,0.83329,0.42469,3.21714,2.31165,5.45309,0.00153497,0.00153497,0.00153497
6,118.77,1.94462,2.35844,2.99001,0.6213,0.56657,0.61813,0.32326,3.07196,3.20748,4.7783,0.00150197,0.00150197,0.00150197
7,138.369,1.87099,2.1612,2.94612,0.581,0.94291,0.73691,0.38218,3.16068,2.48894,4.87401,0.00146896,0.00146896,0.00146896
8,157.932,1.89249,2.15011,2.93912,0.616,0.58051,0.48809,0.18419,4.34184,3.63236,5.66137,0.00143595,0.00143595,0.00143595
9,177.606,1.84716,2.05698,2.90198,0.68613,0.67917,0.65151,0.31542,2.83028,2.58394,4.42056,0.00140295,0.00140295,0.00140295
10,197.553,1.78498,1.83621,2.86543,0.81378,0.80417,0.87774,0.49902,2.81742,2.13828,4.47341,0.00136994,0.00136994,0.00136994
11,217.79,1.79927,1.79734,2.85612,0.78394,0.67161,0.75374,0.4015,2.96043,2.63422,4.53252,0.00133693,0.00133693,0.00133693
12,238.939,1.74017,1.73872,2.82895,0.81433,0.85967,0.90558,0.52702,2.52352,1.76515,4.11445,0.00130393,0.00130393,0.00130393
13,259.203,1.70884,1.73133,2.79456,0.80291,0.87399,0.90425,0.42176,2.79612,2.16404,4.32096,0.00127092,0.00127092,0.00127092
14,279.19,1.68134,1.63079,2.75264,0.86154,0.91513,0.93794,0.50549,2.73526,1.58196,4.4235,0.00123791,0.00123791,0.00123791
15,299.307,1.63115,1.54606,2.72538,0.79991,0.80417,0.86452,0.51693,2.73983,2.24269,4.27272,0.00120491,0.00120491,0.00120491
16,320.071,1.61754,1.53892,2.71463,0.88966,0.85986,0.90425,0.50562,2.74178,1.47999,4.41344,0.0011719,0.0011719,0.0011719
17,340.517,1.61056,1.51112,2.70875,0.72194,0.90417,0.90206,0.50258,2.67608,1.81307,4.27153,0.00113889,0.00113889,0.00113889
18,360.777,1.56657,1.48635,2.69553,0.87065,0.81288,0.91699,0.57605,2.52475,1.47121,4.03688,0.00110589,0.00110589,0.00110589
19,381.82,1.55928,1.35305,2.69743,0.9475,0.76415,0.8702,0.53413,2.81903,1.67022,4.21739,0.00107288,0.00107288,0.00107288
20,401.982,1.55944,1.43723,2.66394,0.93575,0.96667,0.97194,0.57141,2.49807,1.40414,4.02244,0.00103987,0.00103987,0.00103987
21,421.84,1.52575,1.37797,2.65593,0.90819,0.85674,0.91358,0.60357,2.28727,1.31525,3.77229,0.00100687,0.00100687,0.00100687
22,442.04,1.47337,1.29297,2.61976,0.99156,0.96667,0.98868,0.63691,2.36573,0.94759,3.87965,0.000973861,0.000973861,0.000973861
23,462.039,1.46651,1.34487,2.6017,0.87893,0.89517,0.95863,0.65135,2.28243,1.059,3.87228,0.000940855,0.000940855,0.000940855
24,482.464,1.44104,1.30801,2.5813,0.82908,0.97134,0.96354,0.57996,2.33464,1.42826,3.88073,0.000907848,0.000907848,0.000907848
25,502.742,1.40505,1.21778,2.54971,0.8605,0.88682,0.93697,0.64816,2.25542,1.25744,3.74486,0.000874842,0.000874842,0.000874842
26,523.02,1.40294,1.18523,2.5484,0.92847,0.8338,0.93141,0.65358,2.1925,1.44393,3.68186,0.000841835,0.000841835,0.000841835
27,543.023,1.37261,1.1123,2.51625,0.82369,0.93333,0.92997,0.55565,2.67773,1.3712,4.0562,0.000808828,0.000808828,0.000808828
28,563.268,1.36312,1.09212,2.51593,0.95576,0.88501,0.97094,0.5653,2.58617,1.56129,4.13801,0.000775822,0.000775822,0.000775822
29,583.502,1.36419,1.1236,2.52222,0.93955,0.89919,0.97417,0.65446,2.1879,1.0862,3.68545,0.000742815,0.000742815,0.000742815
30,603.685,1.36162,1.13212,2.48849,0.95738,0.73028,0.89672,0.6013,2.37885,1.47674,3.79857,0.000709809,0.000709809,0.000709809
31,623.991,1.29376,1.11338,2.47422,0.88193,0.84167,0.92362,0.62471,2.46919,1.04408,3.96202,0.000676802,0.000676802,0.000676802
32,644.211,1.35618,1.11102,2.50004,0.96829,0.97764,0.98875,0.69045,2.18261,0.94524,3.54419,0.000643795,0.000643795,0.000643795
33,665.951,1.29266,1.08148,2.46574,0.85511,0.9098,0.95794,0.63053,2.47239,1.02852,4.0054,0.000610789,0.000610789,0.000610789
34,688.398,1.26883,1.02231,2.45426,0.92742,0.9375,0.9638,0.66467,2.1744,0.95628,3.57297,0.000577782,0.000577782,0.000577782
35,710.062,1.24046,1.04312,2.43117,0.96659,0.96167,0.98333,0.69227,2.07932,0.86695,3.39863,0.000544776,0.000544776,0.000544776
36,732.592,1.20993,0.99212,2.40281,0.89655,0.88472,0.95082,0.66329,2.27184,1.05504,3.73722,0.000511769,0.000511769,0.000511769
37,755.894,1.19455,0.97935,2.39548,0.94629,0.93333,0.98431,0.70529,1.93993,0.96331,3.38753,0.000478762,0.000478762,0.000478762
38,778.476,1.18851,0.95059,2.37576,0.99405,0.9795,0.995,0.74336,1.95485,0.70112,3.3724,0.000445756,0.000445756,0.000445756
39,803.521,1.21498,0.96792,2.41339,0.98049,0.96612,0.99313,0.70607,2.03585,0.84524,3.42618,0.000412749,0.000412749,0.000412749
40,828.834,1.18515,0.89864,2.38832,0.86781,0.99418,0.97081,0.68291,2.17076,1.05275,3.53927,0.000379743,0.000379743,0.000379743
41,930.288,0.97343,0.70428,2.46055,0.88029,0.98491,0.96858,0.65471,2.38232,0.97405,3.75513,0.000346736,0.000346736,0.000346736
42,952.474,0.90845,0.56631,2.41109,0.9899,0.92385,0.983,0.69082,2.10955,0.82573,3.51807,0.000313729,0.000313729,0.000313729
43,973.788,0.89855,0.50915,2.35163,0.88724,0.96667,0.96478,0.6638,2.13078,1.1184,3.47193,0.000280723,0.000280723,0.000280723
44,995.276,0.86529,0.49003,2.34097,0.95554,0.96667,0.98312,0.66981,2.09394,1.05913,3.49538,0.000247716,0.000247716,0.000247716
45,1017.24,0.84284,0.46896,2.33248,0.91071,0.97525,0.98646,0.69642,2.08458,0.81161,3.53792,0.00021471,0.00021471,0.00021471
46,1039.68,0.8161,0.47063,2.27273,0.90865,0.93935,0.9785,0.691,2.13016,0.9134,3.53145,0.000181703,0.000181703,0.000181703
47,1061.86,0.78988,0.45409,2.2484,0.87885,0.97798,0.97924,0.68164,2.16319,0.83372,3.62001,0.000148696,0.000148696,0.000148696
48,1084.37,0.78981,0.45767,2.25446,0.84959,0.96667,0.96674,0.68206,2.12768,0.93186,3.57095,0.00011569,0.00011569,0.00011569
49,1106.46,0.74891,0.42905,2.24023,0.92606,0.93836,0.97257,0.66724,2.21248,0.83453,3.71222,8.26832e-05,8.26832e-05,8.26832e-05
50,1129.09,0.74085,0.41286,2.22025,0.99441,0.95226,0.99313,0.69845,2.15372,0.73519,3.69219,4.96766e-05,4.96766e-05,4.96766e-05
