                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90499,                 2.1115,                 1.5166,                0.77728,                 4.7204,                 1.4487,                0.00361,                0.96667,                0.51989,                0.23481,                 1.6514,                 3.0855,                 2.5673,                 1.3887,                 10.671,                 2.3466,             0.00054795,             0.00054795,             0.00054795
                      2,                 1.0083,                 1.4773,                 1.5796,                0.96634,                 3.5163,                 1.5371,                 0.3898,                0.25417,                0.25773,                0.08903,                  2.417,                 4.1126,                 3.4447,                 2.1266,                 8.6764,                 3.1492,              0.0010818,              0.0010818,              0.0010818
                      3,                 1.0821,                 1.4293,                 1.6272,                 1.0807,                 2.7763,                 1.6148,                0.53543,                 0.4125,                0.52547,                0.25887,                 1.6988,                 2.1384,                 2.8706,                 1.6401,                 4.5136,                 2.7351,              0.0015936,              0.0015936,              0.0015936
                      4,                 1.0371,                 1.2824,                 1.5757,                 1.0632,                 2.0847,                 1.5672,                0.55995,                0.25245,                0.30004,                0.10925,                 1.9141,                 2.6115,                 2.7975,                  1.574,                 4.0906,                 2.4747,               0.001568,               0.001568,               0.001568
                      5,                0.99191,                 1.1952,                 1.5403,                 1.0499,                 1.7333,                 1.5516,                0.39099,                0.48333,                0.39443,                0.14507,                  1.863,                 2.3692,                 2.6254,                 1.8561,                 3.3273,                 2.5564,               0.001568,               0.001568,               0.001568
                      6,                0.95857,                 1.1047,                 1.5159,                 1.0013,                 1.5142,                 1.5148,                0.44205,                0.58333,                0.49588,                0.22792,                 1.9256,                 2.2665,                 2.7412,                 2.0076,                 2.9662,                  2.785,               0.001535,               0.001535,               0.001535
                      7,                0.93711,                 1.0073,                 1.4915,                0.98736,                 1.3308,                 1.4927,                0.67827,                0.64167,                 0.6766,                0.28699,                 1.6276,                 1.5957,                 2.4298,                 1.7134,                 2.0147,                 2.5151,               0.001502,               0.001502,               0.001502
                      8,                0.93337,                0.96979,                 1.4775,                0.97018,                 1.2322,                 1.4903,                0.46051,                0.68381,                0.65438,                0.32034,                 1.5481,                 1.6229,                 2.3731,                 1.5384,                 2.0233,                 2.4054,               0.001469,               0.001469,               0.001469
                      9,                0.93009,                0.96812,                 1.4791,                 1.0035,                 1.1979,                 1.4989,                 0.6083,                0.62276,                 0.5738,                0.28669,                 1.7474,                 2.1854,                 2.7602,                 1.6685,                 2.3825,                 2.6953,               0.001436,               0.001436,               0.001436
                     10,                0.89503,                0.93842,                  1.467,                0.95374,                 1.1592,                 1.4799,                0.67603,                0.54583,                0.66564,                0.36688,                 1.5206,                  1.517,                 2.2326,                 1.4993,                 1.7362,                 2.3224,              0.0014029,              0.0014029,              0.0014029
                     11,                0.87834,                0.88492,                 1.4382,                0.94718,                 1.0763,                 1.4581,                0.66209,                0.57311,                0.60131,                0.29495,                 1.7134,                 1.6768,                 2.3607,                 1.7085,                 2.0124,                 2.4757,              0.0013699,              0.0013699,              0.0013699
                     12,                0.87012,                0.86613,                 1.4459,                0.94831,                 1.0143,                 1.4634,                0.93619,                0.75974,                0.88666,                0.46522,                 1.4719,                0.95175,                 2.2148,                  1.485,                 1.0355,                 2.2827,              0.0013369,              0.0013369,              0.0013369
                     13,                0.81584,                0.81653,                 1.3917,                0.89403,                0.95628,                 1.4115,                0.84675,                0.88558,                0.90684,                0.46078,                 1.5139,                 1.0839,                 2.2557,                 1.6365,                0.96105,                 2.3368,              0.0013039,              0.0013039,              0.0013039
                     14,                0.81921,                0.80371,                 1.3844,                0.88796,                0.94111,                 1.4049,                0.84186,                0.73173,                0.81582,                0.52365,                 1.2997,                0.88511,                 2.0218,                 1.3057,                 1.0902,                 2.0126,              0.0012709,              0.0012709,              0.0012709
                     15,                0.81756,                0.78882,                 1.4023,                0.88845,                0.91203,                 1.4237,                0.71644,                0.80417,                0.81529,                0.44476,                 1.4163,                 1.0345,                 2.1904,                 1.4819,                0.96842,                 2.2019,              0.0012379,              0.0012379,              0.0012379
                     16,                0.80439,                0.77226,                 1.3787,                0.87942,                0.88332,                 1.4001,                0.82763,                 0.9089,                0.95774,                0.59316,                 1.2549,                0.82365,                 2.0302,                 1.3115,                0.72855,                 2.0474,              0.0012049,              0.0012049,              0.0012049
                     17,                0.77182,                0.74121,                 1.3489,                 0.8529,                0.84476,                 1.3678,                0.88978,                0.81744,                0.90668,                 0.5529,                 1.2582,                0.95152,                 1.9249,                 1.2709,                0.98115,                 1.9442,              0.0011719,              0.0011719,              0.0011719
                     18,                0.76348,                 0.7254,                 1.3511,                 0.8409,                0.82526,                 1.3709,                0.66102,                0.96673,                0.92007,                0.52464,                 1.4109,                0.73415,                 2.2053,                 1.4589,                0.81142,                 2.2628,              0.0011389,              0.0011389,              0.0011389
                     19,                0.78011,                 0.7292,                  1.359,                0.84776,                0.80417,                 1.3741,                0.80022,                0.79947,                0.87495,                 0.5181,                  1.375,                0.72827,                 2.2388,                 1.4464,                0.73536,                 2.2884,              0.0011059,              0.0011059,              0.0011059
                     20,                0.74532,                0.69439,                 1.3336,                0.81538,                0.77731,                 1.3541,                 0.9445,                0.64083,                0.84808,                0.47312,                 1.2947,                0.80225,                 2.0874,                 1.4668,                0.89025,                 2.1751,              0.0010729,              0.0010729,              0.0010729
                     21,                0.71251,                0.66376,                 1.2986,                0.78384,                 0.7297,                 1.3243,                0.95873,                0.90417,                 0.9374,                0.64932,                 1.2504,                0.66957,                  2.001,                 1.2765,                0.54747,                  2.006,              0.0010399,              0.0010399,              0.0010399
                     22,                0.75067,                 0.6692,                 1.3274,                0.82622,                 0.7522,                 1.3504,                0.83617,                0.95655,                0.93713,                 0.5722,                 1.2396,                 0.7394,                 1.9368,                 1.3116,                0.75706,                 2.0477,              0.0010069,              0.0010069,              0.0010069
                     23,                0.70654,                0.64028,                 1.3031,                0.77939,                0.71229,                 1.3217,                0.97899,                0.96088,                 0.9775,                0.59012,                 1.2528,                0.57473,                 2.0415,                 1.2397,                0.54567,                 1.9702,             0.00097386,             0.00097386,             0.00097386
                     24,                0.71109,                0.63253,                 1.2923,                0.78987,                0.70153,                 1.3196,                0.80281,                0.84167,                0.78815,                0.46589,                 1.3456,                0.82176,                  2.067,                 1.3805,                0.76167,                 2.1236,             0.00094085,             0.00094085,             0.00094085
                     25,                0.70262,                0.62309,                 1.2836,                0.76957,                0.68711,                 1.3091,                0.92908,                    0.9,                  0.975,                0.61781,                 1.1758,                0.57437,                 1.8912,                 1.2268,                0.53623,                 2.0216,             0.00090785,             0.00090785,             0.00090785
                     26,                0.69812,                0.60456,                 1.2877,                0.76379,                0.65226,                 1.3094,                0.90737,                0.83333,                0.90203,                 0.5339,                 1.1772,                0.78983,                 1.8902,                 1.2554,                0.79452,                 1.9859,             0.00087484,             0.00087484,             0.00087484
                     27,                0.69069,                0.59662,                  1.283,                0.75668,                0.64385,                  1.308,                0.85462,                0.84126,                0.93163,                0.62518,                 1.1534,                0.59761,                 1.8353,                 1.0732,                0.69328,                  1.782,             0.00084184,             0.00084184,             0.00084184
                     28,                0.67149,                0.58618,                 1.2701,                0.74081,                0.63834,                 1.2942,                0.98524,                0.89655,                0.94029,                 0.6125,                 1.0673,                0.63852,                 1.7878,                 1.0952,                0.70696,                 1.8775,             0.00080883,             0.00080883,             0.00080883
                     29,                0.67879,                0.58056,                 1.2704,                0.74716,                0.63013,                 1.2959,                      1,                0.94704,                  0.995,                0.64336,                 1.1672,                0.53808,                 1.8799,                  1.194,                0.44552,                 1.9062,             0.00077582,             0.00077582,             0.00077582
                     30,                0.65703,                0.57496,                  1.262,                 0.7234,                0.63754,                 1.2794,                0.92805,                0.80313,                0.89729,                0.62506,                 1.0976,                0.65019,                 1.7907,                 1.1087,                0.70483,                 1.7613,             0.00074282,             0.00074282,             0.00074282
                     31,                0.65747,                0.56439,                 1.2638,                0.72932,                0.60344,                 1.2838,                0.96766,                0.95195,                0.98545,                0.65568,                  1.155,                0.54777,                  1.858,                 1.1333,                0.47319,                 1.8522,             0.00070981,             0.00070981,             0.00070981
                     32,                0.64183,                0.55443,                 1.2435,                 0.7055,                0.59461,                 1.2624,                0.99797,                0.83404,                0.94883,                0.59775,                 1.1975,                0.59803,                 1.8994,                 1.2362,                 0.5895,                 1.8775,              0.0006768,              0.0006768,              0.0006768
                     33,                0.64461,                   0.56,                 1.2432,                0.70728,                0.60363,                 1.2654,                0.77875,                0.91091,                0.92687,                0.62204,                 1.1421,                0.63662,                 1.8567,                 1.2518,                0.62405,                 1.9917,              0.0006438,              0.0006438,              0.0006438
                     34,                0.62331,                0.51694,                 1.2288,                0.68757,                0.55915,                 1.2511,                0.93338,                0.86636,                0.97758,                0.66441,                 1.2047,                0.54362,                 1.9014,                 1.2111,                0.52414,                 1.9136,             0.00061079,             0.00061079,             0.00061079
                     35,                0.60216,                0.52171,                 1.2145,                0.66877,                0.56005,                 1.2328,                0.72377,                0.91217,                0.90144,                0.60367,                 1.1102,                0.66834,                 1.8138,                 1.2219,                0.67444,                 1.9345,             0.00057778,             0.00057778,             0.00057778
                     36,                 0.5994,                0.49791,                 1.2165,                0.66966,                0.51404,                 1.2409,                0.88883,                0.92433,                0.92266,                0.61318,                 1.1229,                0.58897,                 1.8784,                 1.2223,                0.61831,                 1.9286,             0.00054478,             0.00054478,             0.00054478
